,Group,Parameters,M,N,Variant_Sites
0,ALT,M3.n3,3,3,54889
1,ALT,M8.n8,8,8,60929
2,ALT,M9.n9,9,9,61068
3,ALT,M4.n4,4,4,58176
4,ALT,M2.n2,2,2,48576
5,ALT,M7.n7,7,7,60824
6,ALT,M5.n5,5,5,59661
7,ALT,M6.n6,6,6,60462
8,ALT,M1.n1,1,1,33885
9,GRP,M1.n1,1,1,2345
10,GRP,M8.n8,8,8,4919
11,GRP,M5.n5,5,5,4581
12,GRP,M3.n3,3,3,4102
13,GRP,M9.n9,9,9,4958
14,GRP,M2.n2,2,2,3540
15,GRP,M7.n7,7,7,4839
16,GRP,M6.n6,6,6,4748
17,GRP,M4.n4,4,4,4406
18,phylo,M6.n6,6,6,39624
19,phylo,M7.n7,7,7,39686
20,phylo,M4.n4,4,4,39166
21,phylo,M8.n8,8,8,39600
22,phylo,M5.n5,5,5,39472
23,phylo,M1.n1,1,1,25433
24,phylo,M9.n9,9,9,39600
25,phylo,M3.n3,3,3,38372
26,phylo,M2.n2,2,2,35198
